,index,pitax_2018,pitax_2019,pitax_2020,pitax_2021,pitax_2022,pitax_ref_2022,pitax_ref_2023,pitax_ref_2024,pitax_ref_2025,pitax_ref_2026,pitax_ref_2027
0,<0,0,0,0,0,0,0,0,0,0,0,0
1,=0,0,0,0,0,0,0,0,0,0,0,0
2,0-0.5 m,"6,456","6,380","6,383","6,049","5,840","5,840","5,570","5,408","5,178","4,959","4,743"
3,0.5-1m,"4,163","4,823","4,795","5,739","6,225","6,225","6,867","7,221","7,685","8,083","8,433"
4,1-1.5m,"1,510","1,804","1,786","2,142","2,352","2,352","2,675","2,908","3,259","3,632","4,052"
5,1.5-2m,728,864,858,"1,060","1,189","1,189","1,407","1,532","1,718","1,908","2,137"
6,2-3m,761,899,890,"1,091","1,195","1,195","1,357","1,459","1,655","1,863","2,118"
7,3-4m,408,471,468,547,608,608,695,763,858,961,"1,077"
8,4-5m,260,309,304,365,388,388,435,475,522,584,648
9,5-10m,741,837,835,949,"1,003","1,003","1,098","1,159","1,275","1,347","1,483"
10,>10m,"2,084","2,369","2,352","2,711","2,928","2,928","3,265","3,470","3,781","4,134","4,506"
11,ALL,"17,112","18,755","18,672","20,652","21,728","21,728","23,370","24,395","25,933","27,470","29,198"
