,index,pitax_2018,pitax_2019,pitax_2020,pitax_2021,pitax_2022,pitax_ref_2022,pitax_ref_2023,pitax_ref_2024,pitax_ref_2025,pitax_ref_2026,pitax_ref_2027
0, 0-10n,0,0,0,0,0,0,0,0,0,0,0
1, 0-10z,0,0,0,0,0,0,0,0,0,0,0
2, 0-10p,509,557,554,612,643,691,743,775,823,871,925
3, 10-20,"2,244","2,456","2,445","2,704","2,847","3,108","3,349","3,502","3,737","3,980","4,258"
4, 20-30,"4,837","5,536","5,500","6,371","6,855","7,377","8,158","8,642","9,356","10,057","10,830"
5, 30-40,"7,807","8,717","8,673","9,695","10,224","10,490","11,296","11,793","12,536","13,278","14,110"
6, 40-50,"8,994","9,849","9,806","10,832","11,389","11,553","12,415","12,953","13,760","14,567","15,473"
7, 50-60,"12,299","13,458","13,399","14,796","15,555","15,811","16,988","17,723","18,824","19,926","21,164"
8, 60-70,"16,659","18,222","18,142","20,028","21,053","21,442","23,036","24,031","25,525","27,018","28,696"
9, 70-80,"21,891","23,941","23,837","26,312","27,657","28,115","30,203","31,508","33,465","35,422","37,621"
10, 80-90,"31,326","34,260","34,111","37,651","39,577","40,704","43,727","45,617","48,450","51,284","54,469"
11, 90-100,"113,658","124,376","123,832","136,782","143,830","177,148","191,077","199,834","213,046","226,354","241,418"
12, ALL,"22,023","24,138","24,030","26,579","27,963","31,644","34,100","35,638","37,953","40,276","42,897"
13, 90-95,"47,534","51,987","51,761","57,137","60,060","62,793","67,468","70,395","74,793","79,201","84,173"
14, 95-99,"88,030","96,291","95,872","105,843","111,266","123,392","133,602","140,092","149,982","160,067","171,613"
15, Top 1%,"546,747","598,614","595,980","658,707","692,876","963,858","1,038,927","1,085,899","1,156,464","1,227,152","1,306,746"
