,weight_2018,pitax_2018,total_gross_income_2018,weight_2019,pitax_2019,total_gross_income_2019,weight_2020,pitax_2020,total_gross_income_2020,weight_2021,pitax_2021,total_gross_income_2021,weight_2022,pitax_2022,total_gross_income_2022,weight_ref_2022,pitax_ref_2022,total_gross_income_ref_2022,weight_ref_2023,pitax_ref_2023,total_gross_income_ref_2023,weight_ref_2024,pitax_ref_2024,total_gross_income_ref_2024,weight_ref_2025,pitax_ref_2025,total_gross_income_ref_2025,weight_ref_2026,pitax_ref_2026,total_gross_income_ref_2026,weight_ref_2027,pitax_ref_2027,total_gross_income_ref_2027,ETR,ETR_ref
0,"7,770.0000",0.0000,2.0000,"7,770.0000",0.0000,2.0000,"7,770.0000",0.0000,2.0000,"7,770.0000",0.0000,3.0000,"7,770.0000",0.0000,3.0000,"7,770.0000",0.0000,3.0000,"7,770.0000",0.0000,3.0000,"7,770.0000",0.0000,3.0000,"7,770.0000",0.0000,3.0000,"7,770.0000",0.0000,3.0000,"7,770.0000",0.0000,4.0000,0.0000,0.0000
1,"7,770.0000",1.0000,7.0000,"7,770.0000",1.0000,7.0000,"7,770.0000",1.0000,7.0000,"7,770.0000",1.0000,8.0000,"7,770.0000",1.0000,8.0000,"7,770.0000",1.0000,8.0000,"7,770.0000",1.0000,9.0000,"7,770.0000",1.0000,9.0000,"7,770.0000",1.0000,10.0000,"7,770.0000",1.0000,10.0000,"7,770.0000",1.0000,11.0000,0.1250,0.1250
2,"7,770.0000",1.0000,12.0000,"7,770.0000",1.0000,14.0000,"7,770.0000",1.0000,14.0000,"7,770.0000",2.0000,15.0000,"7,770.0000",2.0000,16.0000,"7,770.0000",2.0000,16.0000,"7,770.0000",2.0000,17.0000,"7,770.0000",2.0000,18.0000,"7,770.0000",2.0000,19.0000,"7,770.0000",2.0000,20.0000,"7,770.0000",2.0000,21.0000,0.1250,0.1250
3,"7,770.0000",2.0000,19.0000,"7,770.0000",2.0000,21.0000,"7,770.0000",2.0000,20.0000,"7,770.0000",2.0000,23.0000,"7,770.0000",3.0000,24.0000,"7,770.0000",3.0000,24.0000,"7,770.0000",3.0000,25.0000,"7,770.0000",3.0000,27.0000,"7,770.0000",3.0000,28.0000,"7,770.0000",3.0000,30.0000,"7,770.0000",3.0000,32.0000,0.1250,0.1250
4,"7,770.0000",3.0000,27.0000,"7,770.0000",3.0000,29.0000,"7,770.0000",3.0000,29.0000,"7,770.0000",3.0000,32.0000,"7,770.0000",3.0000,34.0000,"7,770.0000",3.0000,34.0000,"7,770.0000",4.0000,36.0000,"7,770.0000",4.0000,38.0000,"7,770.0000",4.0000,40.0000,"7,770.0000",4.0000,43.0000,"7,770.0000",5.0000,45.0000,0.0882,0.0882
5,"7,770.0000",4.0000,37.0000,"7,770.0000",4.0000,41.0000,"7,770.0000",4.0000,41.0000,"7,770.0000",5.0000,45.0000,"7,770.0000",5.0000,47.0000,"7,770.0000",5.0000,47.0000,"7,770.0000",5.0000,51.0000,"7,770.0000",5.0000,53.0000,"7,770.0000",6.0000,56.0000,"7,770.0000",6.0000,59.0000,"7,770.0000",7.0000,63.0000,0.1064,0.1064
6,"7,770.0000",5.0000,50.0000,"7,770.0000",5.0000,55.0000,"7,770.0000",5.0000,54.0000,"7,770.0000",6.0000,60.0000,"7,770.0000",6.0000,63.0000,"7,770.0000",6.0000,63.0000,"7,770.0000",7.0000,68.0000,"7,770.0000",7.0000,71.0000,"7,770.0000",8.0000,75.0000,"7,770.0000",8.0000,80.0000,"7,770.0000",8.0000,85.0000,0.0952,0.0952
7,"7,770.0000",7.0000,66.0000,"7,770.0000",7.0000,73.0000,"7,770.0000",7.0000,72.0000,"7,770.0000",8.0000,80.0000,"7,770.0000",8.0000,84.0000,"7,770.0000",8.0000,84.0000,"7,770.0000",9.0000,90.0000,"7,770.0000",9.0000,94.0000,"7,770.0000",10.0000,100.0000,"7,770.0000",10.0000,105.0000,"7,770.0000",11.0000,112.0000,0.0952,0.0952
8,"7,770.0000",8.0000,83.0000,"7,770.0000",9.0000,91.0000,"7,770.0000",9.0000,90.0000,"7,770.0000",10.0000,100.0000,"7,770.0000",10.0000,105.0000,"7,770.0000",10.0000,105.0000,"7,770.0000",11.0000,113.0000,"7,770.0000",11.0000,117.0000,"7,770.0000",12.0000,125.0000,"7,770.0000",13.0000,132.0000,"7,770.0000",14.0000,140.0000,0.0952,0.0952
9,"7,770.0000",9.0000,102.0000,"7,770.0000",10.0000,112.0000,"7,770.0000",10.0000,111.0000,"7,770.0000",11.0000,123.0000,"7,770.0000",11.0000,129.0000,"7,770.0000",11.0000,129.0000,"7,770.0000",12.0000,139.0000,"7,770.0000",13.0000,145.0000,"7,770.0000",14.0000,154.0000,"7,770.0000",14.0000,163.0000,"7,770.0000",15.0000,173.0000,0.0853,0.0853
10,"7,770.0000",10.0000,129.0000,"7,770.0000",11.0000,141.0000,"7,770.0000",11.0000,140.0000,"7,770.0000",12.0000,155.0000,"7,770.0000",13.0000,163.0000,"7,770.0000",13.0000,163.0000,"7,770.0000",14.0000,175.0000,"7,770.0000",14.0000,182.0000,"7,770.0000",15.0000,194.0000,"7,770.0000",16.0000,205.0000,"7,770.0000",17.0000,218.0000,0.0798,0.0798
11,"7,770.0000",12.0000,157.0000,"7,770.0000",13.0000,172.0000,"7,770.0000",13.0000,171.0000,"7,770.0000",15.0000,188.0000,"7,770.0000",16.0000,198.0000,"7,770.0000",16.0000,198.0000,"7,770.0000",17.0000,213.0000,"7,770.0000",17.0000,222.0000,"7,770.0000",18.0000,236.0000,"7,770.0000",20.0000,249.0000,"7,770.0000",21.0000,265.0000,0.0808,0.0808
12,"7,770.0000",13.0000,192.0000,"7,770.0000",14.0000,210.0000,"7,770.0000",14.0000,209.0000,"7,770.0000",16.0000,231.0000,"7,770.0000",17.0000,242.0000,"7,770.0000",17.0000,242.0000,"7,770.0000",18.0000,260.0000,"7,770.0000",19.0000,272.0000,"7,770.0000",20.0000,288.0000,"7,770.0000",21.0000,305.0000,"7,770.0000",22.0000,324.0000,0.0702,0.0702
13,"7,770.0000",16.0000,231.0000,"7,770.0000",18.0000,253.0000,"7,770.0000",17.0000,252.0000,"7,770.0000",19.0000,278.0000,"7,770.0000",20.0000,292.0000,"7,770.0000",20.0000,292.0000,"7,770.0000",22.0000,313.0000,"7,770.0000",23.0000,327.0000,"7,770.0000",24.0000,347.0000,"7,770.0000",25.0000,367.0000,"7,770.0000",27.0000,390.0000,0.0685,0.0685
14,"7,770.0000",16.0000,272.0000,"7,770.0000",18.0000,297.0000,"7,770.0000",18.0000,296.0000,"7,770.0000",20.0000,327.0000,"7,770.0000",21.0000,343.0000,"7,770.0000",21.0000,343.0000,"7,770.0000",22.0000,369.0000,"7,770.0000",23.0000,385.0000,"7,770.0000",25.0000,409.0000,"7,770.0000",26.0000,432.0000,"7,770.0000",28.0000,459.0000,0.0612,0.0612
15,"7,770.0000",19.0000,316.0000,"7,770.0000",21.0000,345.0000,"7,770.0000",21.0000,343.0000,"7,770.0000",23.0000,379.0000,"7,770.0000",24.0000,398.0000,"7,770.0000",24.0000,398.0000,"7,770.0000",26.0000,428.0000,"7,770.0000",27.0000,446.0000,"7,770.0000",29.0000,474.0000,"7,770.0000",31.0000,502.0000,"7,770.0000",33.0000,533.0000,0.0603,0.0603
16,"7,770.0000",21.0000,366.0000,"7,770.0000",23.0000,400.0000,"7,770.0000",23.0000,399.0000,"7,770.0000",25.0000,440.0000,"7,770.0000",26.0000,462.0000,"7,770.0000",26.0000,462.0000,"7,770.0000",28.0000,497.0000,"7,770.0000",30.0000,518.0000,"7,770.0000",31.0000,550.0000,"7,770.0000",33.0000,582.0000,"7,770.0000",36.0000,618.0000,0.0563,0.0563
17,"7,770.0000",20.0000,417.0000,"7,770.0000",22.0000,456.0000,"7,770.0000",22.0000,454.0000,"7,770.0000",25.0000,501.0000,"7,770.0000",26.0000,527.0000,"7,770.0000",26.0000,527.0000,"7,770.0000",28.0000,566.0000,"7,770.0000",29.0000,590.0000,"7,770.0000",31.0000,627.0000,"7,770.0000",33.0000,663.0000,"7,770.0000",36.0000,704.0000,0.0493,0.0493
